名前,読み方,3月6日,3月14日,3月21日,3月28日,4月4日,4月12日,4月16日,4月19日
アダム・ナガイ,ADAM,2.1,2.4,2.8,4.4,7.2,8.6,8.9,9.0
中丸 晏寿,AJU,5.5,6,6.4,6.9,7.4,7.8,8.0,8.0
本荘 晃,AKIRA,,,,1.1,1.6,2.1,2.3,2.3
オム・スアンカワーテン,AOM,1.3,1.5,1.7,1.8,2,2.2,2.3,2.3
アーチャー・ウイ,ARCHER,3.4,4.1,4.6,5.4,6.7,7.7,7.9,8.0
児島 歩夢,AYUMU.K,,,,0.6,1,1.3,1.4,1.4
篠ヶ谷 歩夢,AYUMU.S,3.7,4.2,4.5,5,5.6,6.2,6.3,6.4
小林 千悟,CHISATO,12,14,16,17,19,21.4,21.9,22.1
市川 大輝,DAIKI.I,,,,0.8,2.4,2.9,3.3,3.4
加藤 大樹,DAIKI.K,29,33,36,40,47,55.3,58.0,59.5
カク・ドンミン,DONGMIN,2.8,3.2,3.5,3.8,4.4,5,5.2,5.3
末川 瑛太,EITA,3,3.4,3.8,4.2,4.6,5.1,5.2,5.3
金田 栄都,EITO,1.2,1.4,1.5,1.7,2,2.3,2.4,2.4
櫻井 楓真,FUMA,2.6,3,3.3,3.6,4,4.4,4.5,4.5
小笠原 ジュゼッペ 慧,GIUSEPPE,2.9,3.3,3.4,4.2,5.4,6,6.3,6.4
倉橋 吾槙,GOTEN,10,11,12,15,20,25.1,26.7,27.5
村松 遼空,HARUKU,,,,0.8,1,1.3,1.3,1.4
髙城 暖人,HARUTO,,,,1,1.5,1.8,1.9,1.9
堀尾 聖,HIJIRI,1.8,2,2.2,2.5,2.7,3.1,3.2,3.4
平島 輝,HIKARU,,,,3.1,4,4.5,4.7,4.7
瑞慶覧 太都,HIROTO,1.8,2.1,2.4,2.6,2.9,3.2,3.3,3.3
ユ・ヒョンスン,HYEONSEUNG,3.3,4,4.4,5.5,7.4,9.6,10.3,10.7
岡田 彪吾,HYUGO,1.8,2.1,2.3,2.7,3.2,4,4.6,5.6
イ・ヒョンジェ,HYUNJAE,,,,2.3,3.9,5.1,5.5,5.7
柳谷 伊冴,ISSA,3.4,4,4.5,5,5.8,9,12.0,13.0
ユン・ジェヨン,JAEYONG,1.6,1.9,2.1,2.4,3.1,3.6,3.7,3.8
ジュアン・ジェイ,JAY,3.8,4.2,4.5,5,5.6,6.1,6.3,6.4
丸尾 尋一郎,JINICHIRO,1.7,2,2.3,2.6,2.9,3.4,3.7,3.9
河邊 晟,JOE,1,1.1,1.2,1.4,1.6,1.8,1.8,1.8
シン・ジョンウク,JUNGUK,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5
金安 純正,JUNSEI,1.7,2,2.2,2.6,3,3.3,3.4,3.4
リュウ・カイチ,KAICHI,,,,0.8,1.3,1.7,1.9,2.0
宇野 海夢,KAIMU,3.1,3.7,4.1,4.6,5.1,5.6,5.7,5.7
多比 奏聖,KANADE,1.2,1.4,1.5,1.6,1.9,2.4,2.5,2.6
横山 奏夢,KANAME,14,17,19,22,26,30.4,32.0,32.8
黒﨑 貫汰,KANTA,,,,1,1.7,2.2,2.3,2.4
関 敬次郎,KEIJIRO,1.5,1.7,1.9,2.1,2.3,2.7,2.7,2.8
黄 敬眞,KEISHIN,,,,0.5,0.9,1.2,1.3,1.3
髙松 敬祐,KEISUKE,1.2,1.4,1.5,1.7,2,2.3,2.3,2.4
小野 慶人,KEITO,20,22,23,25,28,31,31.8,32.4
西山 賢人,KENTO,1.3,1.5,1.6,1.8,2,2.2,2.3,2.3
釼持 吉成,KINARI,,,,7,15,21.5,23.4,24.3
河合 晃誠,KOSEI,1.1,1.2,1.3,1.5,1.7,2,2.0,2.1
青沼 昂史朗,KOSHIRO,,,,1.2,2.6,3.9,4.3,4.5
照井 康祐,KOSUKE,26,32,36,42,50,59.7,63.7,66.0
浅香 孝太郎,KOTARO,3.1,3.6,3.9,4.5,5.3,6.7,7.2,7.5
髙谷 京平,KYOHEI,2.6,2.9,3.2,3.5,4,4.4,4.7,4.8
田中 蒔,MAKI,11,12,13,14,15,16,16.4,16.6
森 明育,MEI,,,,1.2,2,2.5,2.6,2.7
山根 武蔵,MUSASHI,1.7,1.9,2.1,2.3,2.5,2.8,2.9,2.9
土田 央修,OSUKE,13,15,16,18,23,27.9,29.1,29.8
小清水 蓮,REN.KO,8.7,9.4,9.8,10,11,12.5,12.7,12.8
堀野 蓮,REN.H,2.1,2.4,2.7,3.2,4,4.9,5.1,5.3
小林 蓮翔,RENTO,,,,0.6,0.9,1.2,1.3,1.3
チェン・リッキー,RICKEY,3.3,3.7,4,4.4,5.3,6.7,7.0,7.2
神元 理丘,RIKU,1.2,1.4,1.5,1.7,2.2,3.2,3.4,3.5
今江 陸斗,RIKUTO.I,4.1,4.6,4.9,5.7,6.5,7.3,7.7,7.8
鳩場 陸人,RIKUTO.H,1.2,1.3,1.4,1.6,1.9,2.2,2.3,2.3
甲斐 陸也,RIKUYA,2.2,2.4,2.6,2.9,3.3,3.6,3.7,3.8
大瀬 凜和,RINTO,4.2,4.8,5.2,5.8,6.6,7.4,7.6,7.7
上野 琉偉,RUI.U,2.9,3.3,3.5,,4.2,4.6,4.7,4.8
水上 琉偉,RUI.M,,,,0.8,1.3,1.8,1.9,2.0
飯塚 亮賀,RYOGA,12,14,15,17,19,21.6,22.4,22.9
石田 亮太,RYOTA,3,3.3,3.5,4.5,5.7,6.7,7.0,7.2
岡戸 竜芽,RYUGA,1.3,1.5,1.7,1.9,2.2,2.6,2.6,2.7
杉山 竜司,RYUJI,5.4,6.3,6.8,7.8,9.3,10.6,11.4,12.0
香月 誠太,SEITA,1.2,1.3,1.4,1.5,1.9,2.3,2.4,2.5
澤井 星名,SENA,3.9,4.5,5,5.7,6.4,7,7.2,7.3
オ・シンヘン,SHINHAENG,3.3,3.6,3.8,5,7,8.5,9.0,9.3
岩城 慎二,SHINJI,3.9,4.6,5.1,5.7,6.5,7.6,7.9,8.1
宮崎 真佑,SHINSUKE,1.5,1.7,1.9,2.2,2.7,3,3.1,3.2
西﨑 柊,SHU.N,2.6,3,3.3,3.7,4.3,4.8,4.9,5.0
山下 柊,SHU.Y,3.3,3.8,4.3,4.9,5.7,6.5,6.7,6.9
パク・シヨン,SIYOUNG,10,12,13,15,19,22.3,23.3,24.0
松田 颯吾,SOGO,,,,0.5,0.8,1.2,1.2,1.3
佐藤 碧空,SORA.S,1.7,1.9,2,2.3,2.6,3.1,3.3,3.4
髙橋 空良,SORA.T,,,,1.1,2,2.5,2.6,2.7
西田 颯梓,SOSHI,,,,1.7,2.6,3.2,3.4,3.5
東野 蒼汰,SOTA,1.4,1.5,1.7,1.9,2.3,2.6,2.7,2.7
藤牧 大雅,TAIGA.F,12,14,16,18,22,24.9,26.0,26.5
松田 太雅,TAIGA.M,2.8,3.4,3.8,4.4,5,5.6,5.7,5.8
金倉 拓未,TAKUMI,1.9,2.2,2.4,2.7,3.1,3.5,3.7,3.7
岡本 拓士,TAKUTO.O,,,,2,3.3,4.3,4.7,4.8
熊部 拓斗,TAKUTO.K,3.5,4.2,4.7,6.2,9.1,11.7,12.6,13.0
宮里 拓利,TAKUTO.M,2.1,2.3,2.5,2.7,3,3.4,3.6,3.7
南平 達矢,TATSUYA,3.9,4.2,4.4,4.8,5.4,5.9,6.1,6.2
森井 輝,TERU,1.5,1.7,1.9,2.1,2.5,2.9,3.0,3.1
北林 天虎,TETORA,1.4,1.5,1.7,1.9,2.1,2.4,2.5,2.5
藤芳 辰弥,TOKIYA,1.1,1.3,1.4,1.6,1.8,2.2,2.3,2.4
増田 倫希,TOMOKI,1.9,2.1,2.3,2.6,2.9,3.2,3.3,3.4
濱田 永遠,TOWA,4.5,5.2,5.7,6.8,9,11,11.6,12.0
アギナルド・トリスタン・ジェームス,TRISTAN,1.8,2,2.2,2.4,2.7,2.9,3.0,3.0
リー・ウェイゼ,WEIZE,1.2,1.3,1.4,1.7,2,2.5,2.6,2.7
ヨハン・エマニュエル,YOHAN,1.1,1.2,1.3,1.4,1.7,1.9,2.0,2.0
矢田 佳暉,YOSHIKI,8,10,11,14,18,21.5,22.6,23.3
後藤 結,YUKI,16,17,18,20,22,23.4,23.9,24.3
岡田 侑磨,YUMA,4.5,5.2,5.6,6.4,7.2,8.2,8.6,8.8
安部 結蘭,YURA,22,25,27,30,35,39.4,40.8,41.6
大林 悠成,YUSEI.O,4.5,5.1,5.6,6.7,8.5,10.1,10.6,10.9
佐野 由征,YUSEI.S,2,2.2,2.4,2.8,3.2,3.6,3.7,3.7
板倉 悠太,YUTA,2.5,2.8,3,4,5.8,6.7,6.9,7.1
